iter	Passed	Remaining
0	103	103319
1	104	52047
2	104	34893
3	105	26316
4	106	21169
5	107	17741
6	107	15286
7	108	13431
8	110	12112
9	110	10975
10	111	10056
11	112	9288
12	113	8632
13	114	8058
14	115	7560
15	115	7119
16	116	6727
17	116	6376
18	117	6069
19	118	5787
20	118	5531
21	119	5299
22	119	5090
23	120	4894
24	120	4714
25	121	4547
26	121	4393
27	122	4255
28	123	4130
29	124	4013
30	124	3905
31	125	3810
32	126	3709
33	127	3614
34	127	3526
35	128	3443
36	129	3362
37	129	3285
38	130	3211
39	130	3140
40	131	3075
41	132	3011
42	132	2951
43	133	2909
44	134	2859
45	135	2807
46	135	2757
47	137	2734
48	139	2714
49	140	2672
50	141	2627
51	141	2584
52	142	2541
53	142	2500
54	143	2460
55	143	2423
56	144	2389
57	145	2355
58	145	2321
59	146	2291
60	146	2262
61	148	2239
62	148	2213
63	149	2186
64	150	2170
65	151	2146
66	152	2122
67	153	2104
68	154	2081
69	154	2056
70	155	2031
71	155	2007
72	156	1984
73	156	1961
74	157	1939
75	157	1917
76	158	1898
77	158	1878
78	159	1858
79	160	1840
80	160	1821
81	161	1803
82	161	1783
83	161	1765
84	162	1749
85	163	1733
86	163	1716
87	164	1700
88	164	1687
89	165	1678
90	166	1667
91	167	1655
92	168	1642
93	168	1628
94	169	1615
95	170	1601
96	170	1588
97	171	1575
98	171	1564
99	172	1552
100	173	1541
101	173	1529
102	174	1519
103	174	1507
104	175	1495
105	175	1483
106	176	1472
107	176	1461
108	177	1450
109	177	1439
110	178	1429
111	178	1418
112	179	1412
113	180	1404
114	181	1396
115	182	1388
116	182	1378
117	183	1369
118	183	1360
119	184	1351
120	184	1343
121	185	1333
122	185	1325
123	186	1316
124	186	1308
125	187	1300
126	187	1291
127	188	1284
128	189	1276
129	189	1268
130	190	1260
131	190	1253
132	191	1246
133	191	1238
134	192	1231
135	192	1223
136	193	1216
137	193	1209
138	194	1202
139	194	1196
140	195	1189
141	195	1182
142	196	1177
143	197	1171
144	197	1165
145	198	1159
146	198	1152
147	199	1146
148	199	1140
149	200	1133
150	200	1127
151	201	1121
152	201	1115
153	202	1109
154	202	1104
155	203	1098
156	203	1092
157	203	1087
158	204	1081
159	204	1076
160	205	1069
161	205	1064
162	206	1059
163	206	1054
164	207	1048
165	207	1043
166	208	1038
167	208	1033
168	209	1029
169	209	1025
170	210	1020
171	211	1016
172	211	1012
173	212	1008
174	212	1003
175	213	999
176	213	994
177	214	990
178	214	986
179	215	981
180	216	978
181	216	975
182	217	971
183	218	967
184	218	962
185	219	958
186	219	954
187	219	950
188	220	946
189	221	942
190	221	938
191	221	934
192	222	930
193	222	926
194	223	922
195	224	919
196	224	915
197	225	912
198	225	908
199	226	906
200	227	903
201	227	899
202	228	896
203	228	892
204	229	889
205	229	885
206	230	882
207	230	878
208	231	875
209	231	871
210	232	868
211	232	865
212	233	862
213	233	858
214	234	855
215	234	852
216	235	849
217	235	846
218	236	843
219	236	839
220	237	836
221	237	833
222	238	830
223	239	828
224	239	826
225	240	823
226	241	821
227	241	819
228	242	816
229	242	813
230	243	810
231	243	807
232	244	804
233	245	802
234	245	799
235	246	796
236	246	793
237	247	790
238	247	788
239	247	785
240	248	782
241	248	779
242	249	777
243	249	774
244	250	771
245	250	769
246	251	766
247	251	764
248	252	761
249	252	758
250	253	756
251	254	754
252	254	752
253	255	750
254	255	747
255	256	745
256	256	742
257	257	740
258	257	737
259	258	735
260	258	732
261	259	730
262	259	728
263	260	725
264	260	723
265	261	721
266	261	718
267	262	716
268	262	714
269	263	711
270	263	709
271	264	707
272	264	705
273	265	703
274	265	700
275	266	698
276	266	696
277	267	695
278	268	693
279	269	692
280	270	693
281	271	691
282	272	690
283	272	688
284	273	686
285	274	684
286	274	682
287	275	680
288	275	678
289	276	676
290	276	674
291	277	672
292	277	670
293	278	668
294	278	666
295	279	664
296	279	662
297	280	660
298	280	658
299	281	656
300	282	654
301	282	652
302	282	650
303	283	649
304	284	647
305	284	645
306	285	643
307	285	642
308	286	640
309	286	638
310	287	636
311	287	634
312	288	633
313	288	631
314	289	629
315	289	627
316	290	625
317	290	624
318	291	622
319	292	620
320	292	618
321	293	616
322	293	615
323	294	613
324	294	611
325	295	610
326	295	608
327	296	606
328	296	605
329	297	603
330	297	601
331	298	600
332	298	598
333	299	597
334	300	595
335	300	593
336	301	592
337	301	590
338	302	588
339	302	587
340	303	585
341	303	583
342	303	582
343	304	580
344	305	579
345	305	577
346	306	575
347	306	574
348	306	572
349	307	571
350	307	569
351	308	567
352	309	566
353	309	565
354	310	563
355	310	562
356	311	560
357	311	559
358	312	557
359	312	556
360	313	554
361	313	552
362	314	551
363	314	550
364	315	548
365	315	547
366	316	545
367	316	544
368	317	542
369	318	541
370	318	540
371	319	538
372	319	537
373	320	535
374	320	534
375	321	532
376	321	531
377	322	530
378	322	528
379	323	527
380	323	525
381	324	524
382	324	522
383	325	521
384	325	520
385	326	518
386	326	517
387	327	516
388	327	514
389	328	513
390	328	512
391	329	510
392	329	509
393	330	508
394	331	507
395	331	505
396	332	504
397	332	502
398	333	501
399	333	500
400	334	499
401	334	497
402	335	496
403	335	495
404	336	493
405	336	492
406	337	491
407	337	489
408	338	488
409	338	487
410	339	486
411	339	484
412	340	483
413	340	482
414	341	481
415	341	479
416	342	478
417	342	477
418	343	476
419	343	474
420	344	473
421	345	472
422	346	472
423	346	470
424	347	469
425	347	468
426	348	467
427	348	465
428	349	464
429	349	463
430	350	462
431	350	461
432	351	459
433	351	458
434	352	457
435	353	456
436	353	455
437	354	454
438	354	453
439	355	452
440	355	450
441	356	449
442	356	448
443	357	447
444	357	446
445	358	445
446	358	443
447	359	443
448	360	442
449	360	440
450	361	440
451	362	438
452	362	437
453	363	436
454	363	435
455	364	434
456	364	433
457	365	432
458	366	431
459	366	430
460	367	429
461	367	427
462	368	426
463	368	425
464	369	424
465	369	423
466	369	422
467	374	425
468	375	424
469	375	423
470	376	422
471	377	421
472	377	420
473	378	419
474	379	418
475	379	417
476	379	416
477	380	415
478	380	414
479	381	413
480	381	412
481	382	410
482	382	409
483	383	408
484	383	407
485	384	406
486	384	405
487	385	404
488	385	403
489	386	402
490	386	401
491	387	399
492	387	398
493	388	397
494	389	396
495	389	396
496	390	395
497	391	394
498	391	393
499	392	392
500	392	391
501	393	390
502	393	389
503	394	388
504	394	386
505	395	385
506	395	384
507	396	383
508	396	382
509	397	381
510	397	380
511	398	379
512	398	378
513	399	377
514	399	376
515	400	375
516	400	374
517	401	373
518	401	372
519	402	371
520	402	370
521	403	369
522	404	368
523	404	367
524	405	366
525	405	365
526	406	364
527	406	363
528	407	362
529	407	361
530	408	360
531	408	359
532	409	358
533	410	357
534	410	356
535	411	355
536	411	355
537	412	354
538	412	353
539	413	352
540	413	351
541	414	350
542	415	349
543	415	348
544	416	347
545	416	346
546	417	345
547	417	344
548	418	343
549	418	342
550	419	341
551	419	340
552	420	339
553	421	339
554	421	338
555	422	337
556	422	336
557	423	335
558	423	334
559	424	333
560	424	332
561	425	331
562	425	330
563	426	329
564	427	329
565	427	328
566	428	327
567	428	326
568	429	325
569	430	324
570	430	323
571	431	322
572	431	321
573	432	320
574	432	319
575	433	318
576	433	318
577	434	317
578	435	316
579	435	315
580	436	314
581	436	313
582	437	312
583	438	312
584	438	311
585	439	310
586	439	309
587	440	308
588	440	307
589	441	306
590	442	305
591	442	305
592	443	304
593	443	303
594	444	302
595	444	301
596	445	300
597	445	299
598	446	298
599	446	297
600	447	297
601	447	296
602	448	295
603	448	294
604	449	293
605	450	292
606	450	291
607	451	291
608	452	290
609	453	289
610	454	289
611	454	288
612	455	287
613	455	286
614	456	285
615	456	284
616	457	283
617	457	282
